181 1
9.647661e-01 1.124326e+00 0.0
9.701456e-01 1.139260e+00 0.0
9.748038e-01 1.154434e+00 0.0
9.787301e-01 1.169814e+00 0.0
9.819155e-01 1.185364e+00 0.0
9.843526e-01 1.201049e+00 0.0
9.860359e-01 1.216832e+00 0.0
9.869615e-01 1.232678e+00 0.0
9.869615e-01 1.248551e+00 0.0
9.869615e-01 1.264424e+00 0.0
9.869615e-01 1.280297e+00 0.0
9.869615e-01 1.296170e+00 0.0
9.869615e-01 1.312043e+00 0.0
9.869615e-01 1.327916e+00 0.0
9.869615e-01 1.343789e+00 0.0
9.869615e-01 1.359662e+00 0.0
9.869615e-01 1.375535e+00 0.0
9.869615e-01 1.391408e+00 0.0
9.869615e-01 1.407281e+00 0.0
9.835412e-01 1.422781e+00 0.0
9.781416e-01 1.437708e+00 0.0
9.708537e-01 1.451809e+00 0.0
9.618005e-01 1.464847e+00 0.0
9.511344e-01 1.476602e+00 0.0
9.390353e-01 1.486877e+00 0.0
9.257071e-01 1.495497e+00 0.0
9.113744e-01 1.502318e+00 0.0
8.962788e-01 1.507225e+00 0.0
8.806748e-01 1.510135e+00 0.0
8.648253e-01 1.510998e+00 0.0
8.489523e-01 1.510998e+00 0.0
8.330792e-01 1.510998e+00 0.0
8.172062e-01 1.510998e+00 0.0
8.013332e-01 1.510998e+00 0.0
7.854602e-01 1.510998e+00 0.0
7.695872e-01 1.510998e+00 0.0
7.537142e-01 1.510998e+00 0.0
7.378411e-01 1.510998e+00 0.0
7.219681e-01 1.510998e+00 0.0
7.060951e-01 1.510998e+00 0.0
6.902221e-01 1.510998e+00 0.0
6.743491e-01 1.510998e+00 0.0
6.584761e-01 1.510998e+00 0.0
6.426030e-01 1.510998e+00 0.0
6.267300e-01 1.510998e+00 0.0
6.108570e-01 1.510998e+00 0.0
5.949840e-01 1.510998e+00 0.0
5.791110e-01 1.510998e+00 0.0
5.632380e-01 1.510998e+00 0.0
5.473650e-01 1.510998e+00 0.0
5.314919e-01 1.510998e+00 0.0
5.156189e-01 1.510998e+00 0.0
4.997459e-01 1.510998e+00 0.0
4.838729e-01 1.510998e+00 0.0
4.679999e-01 1.510998e+00 0.0
4.521269e-01 1.510998e+00 0.0
4.362538e-01 1.510998e+00 0.0
4.203808e-01 1.510998e+00 0.0
4.045078e-01 1.510998e+00 0.0
3.886348e-01 1.510998e+00 0.0
3.727618e-01 1.510998e+00 0.0
3.568888e-01 1.510998e+00 0.0
3.410157e-01 1.510998e+00 0.0
3.251427e-01 1.510998e+00 0.0
3.092697e-01 1.510998e+00 0.0
2.933967e-01 1.510998e+00 0.0
2.775237e-01 1.510998e+00 0.0
2.616507e-01 1.510998e+00 0.0
2.457777e-01 1.510998e+00 0.0
2.299046e-01 1.510998e+00 0.0
2.140316e-01 1.510998e+00 0.0
1.981586e-01 1.510998e+00 0.0
1.823356e-01 1.512257e+00 0.0
1.666621e-01 1.514766e+00 0.0
1.512369e-01 1.518509e+00 0.0
1.361570e-01 1.523464e+00 0.0
1.215174e-01 1.529599e+00 0.0
1.074103e-01 1.536875e+00 0.0
9.392449e-02 1.545247e+00 0.0
8.114483e-02 1.554661e+00 0.0
6.915179e-02 1.565059e+00 0.0
5.802088e-02 1.576375e+00 0.0
4.172617e-02 1.588538e+00 0.0
3.252388e-02 1.601472e+00 0.0
2.437592e-02 1.615094e+00 0.0
1.733360e-02 1.629319e+00 0.0
1.144126e-02 1.644058e+00 0.0
6.735982e-03 1.659218e+00 0.0
3.247394e-03 1.674702e+00 0.0
9.974595e-04 1.690415e+00 0.0
