(   26 ,    61)   +0.250000
(   26 ,    68)   +0.250000
(   27 ,    26)   -0.750000
(   27 ,    27)   +1.500000
(   27 ,    28)   -0.750000
(   27 ,    33)   -2.000000
(   27 ,    68)   +0.750000
(   27 ,    69)   +0.750000
(   27 ,    70)   +0.250000
(   28 ,    27)   -0.750000
(   28 ,    28)   +1.500000
(   28 ,    29)   -0.750000
(   28 ,    34)   -2.000000
(   28 ,    69)   +0.250000
(   28 ,    70)   +0.750000
(   28 ,    71)   +0.750000
(   29 ,    23)   -0.750000
(   29 ,    28)   -0.750000
(   29 ,    29)   +1.500000
(   29 ,    30)   -1.500000
(   29 ,    35)   -1.500000
(   29 ,    66)   +0.250000
(   29 ,    71)   +0.250000
(   30 ,    29)   -1.500000
(   30 ,    30)   -1.500000
(   31 ,    31)   +1.000000
(   32 ,    26)   -1.500000
(   32 ,    32)   -1.500000
(   33 ,    27)   -2.000000
(   33 ,    33)   -2.000000
(   34 ,    28)   -2.000000
(   34 ,    34)   -2.000000
(   35 ,    29)   -1.500000
(   35 ,    35)   -1.500000
(   36 ,    36)   +1.000000
(   37 ,    37)   +1.000000
(   38 ,     8)   +0.250000
(   38 ,     9)   +0.750000
(   38 ,    38)   -1.500000
(   38 ,    44)   -1.000000
(   39 ,     9)   +0.750000
(   39 ,    10)   +0.250000
(   39 ,    39)   -1.500000
(   39 ,    45)   -1.000000
(   40 ,     9)   +0.250000
(   40 ,    10)   +0.750000
(   40 ,    40)   -1.500000
(   40 ,    46)   -1.000000
(   41 ,    10)   +0.750000
(   41 ,    11)   +0.250000
(   41 ,    41)   -1.500000
(   41 ,    47)   -1.000000
(   42 ,    42)   +1.000000
(   43 ,     8)   +0.250000
(   43 ,    14)   +0.750000
(   43 ,    43)   -1.500000
(   43 ,    44)   -1.000000
(   44 ,    38)   -1.000000
(   44 ,    43)   -1.000000
(   44 ,    44)   +2.000000
(   44 ,    45)   -1.000000
(   44 ,    50)   -1.000000
(   45 ,    39)   -1.000000
(   45 ,    44)   -1.000000
(   45 ,    45)   +3.000000
(   45 ,    46)   -1.000000
(   45 ,    51)   -1.000000
(   46 ,    40)   -1.000000
(   46 ,    45)   -1.000000
(   46 ,    46)   +3.000000
(   46 ,    47)   -1.000000
(   46 ,    52)   -1.000000
(   47 ,    41)   -1.000000
(   47 ,    46)   -1.000000
(   47 ,    47)   +2.000000
(   47 ,    48)   -1.000000
(   47 ,    53)   -1.000000
(   48 ,    11)   +0.250000
(   48 ,    17)   +0.750000
(   48 ,    47)   -1.000000
(   48 ,    48)   -1.500000
(   49 ,    14)   +0.750000
(   49 ,    20)   +0.250000
(   49 ,    49)   -1.500000
(   49 ,    50)   -1.000000
(   50 ,    44)   -1.000000
(   50 ,    49)   -1.000000
(   50 ,    50)   +3.000000
(   50 ,    51)   -1.000000
(   50 ,    56)   -1.000000
(   51 ,    45)   -1.000000
(   51 ,    50)   -1.000000
(   51 ,    51)   +4.000000
(   51 ,    52)   -1.000000
(   51 ,    57)   -1.000000
(   52 ,    46)   -1.000000
(   52 ,    51)   -1.000000
(   52 ,    52)   +4.000000
(   52 ,    53)   -1.000000
(   52 ,    58)   -1.000000
(   53 ,    47)   -1.000000
(   53 ,    52)   -1.000000
(   53 ,    53)   +3.000000
(   53 ,    54)   -1.000000
(   53 ,    59)   -1.000000
(   54 ,    17)   +0.750000
(   54 ,    23)   +0.250000
(   54 ,    53)   -1.000000
(   54 ,    54)   -1.500000
(   55 ,    14)   +0.250000
(   55 ,    20)   +0.750000
(   55 ,    55)   -1.500000
(   55 ,    56)   -1.000000
(   56 ,    50)   -1.000000
(   56 ,    55)   -1.000000
(   56 ,    56)   +3.000000
(   56 ,    57)   -1.000000
(   56 ,    62)   -1.000000
(   57 ,    51)   -1.000000
(   57 ,    56)   -1.000000
(   57 ,    57)   +4.000000
(   57 ,    58)   -1.000000
(   57 ,    63)   -1.000000
(   58 ,    52)   -1.000000
(   58 ,    57)   -1.000000
(   58 ,    58)   +4.000000
(   58 ,    59)   -1.000000
(   58 ,    64)   -1.000000
(   59 ,    53)   -1.000000
(   59 ,    58)   -1.000000
(   59 ,    59)   +3.000000
(   59 ,    60)   -1.000000
(   59 ,    65)   -1.000000
(   60 ,    17)   +0.250000
(   60 ,    23)   +0.750000
(   60 ,    59)   -1.000000
(   60 ,    60)   -1.500000
(   61 ,    20)   +0.750000
(   61 ,    26)   +0.250000
(   61 ,    61)   -1.500000
(   61 ,    62)   -1.000000
(   62 ,    56)   -1.000000
(   62 ,    61)   -1.000000
(   62 ,    62)   +2.000000
(   62 ,    63)   -1.000000
(   62 ,    68)   -1.000000
(   63 ,    57)   -1.000000
(   63 ,    62)   -1.000000
(   63 ,    63)   +3.000000
(   63 ,    64)   -1.000000
(   63 ,    69)   -1.000000
(   64 ,    58)   -1.000000
(   64 ,    63)   -1.000000
(   64 ,    64)   +3.000000
(   64 ,    65)   -1.000000
(   64 ,    70)   -1.000000
(   65 ,    59)   -1.000000
(   65 ,    64)   -1.000000
(   65 ,    65)   +2.000000
(   65 ,    66)   -1.000000
(   65 ,    71)   -1.000000
(   66 ,    23)   +0.750000
(   66 ,    29)   +0.250000
(   66 ,    65)   -1.000000
(   66 ,    66)   -1.500000
(   67 ,    67)   +1.000000
(   68 ,    26)   +0.250000
(   68 ,    27)   +0.750000
(   68 ,    62)   -1.000000
(   68 ,    68)   -1.500000
(   69 ,    27)   +0.750000
(   69 ,    28)   +0.250000
(   69 ,    63)   -1.000000
(   69 ,    69)   -1.500000
(   70 ,    27)   +0.250000
(   70 ,    28)   +0.750000
(   70 ,    64)   -1.000000
(   70 ,    70)   -1.500000
(   71 ,    28)   +0.750000
(   71 ,    29)   +0.250000
(   71 ,    65)   -1.000000
(   71 ,    71)   -1.500000
(   72 ,    72)   +1.000000
